               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082393,            0.071904,            0.038284,             0.15857,             0.22042,             0.12175,            0.056367,            0.056322,            0.058293,            0.036888,            0.070049,           0.0033279,           0.0033279
                   1,            0.061329,            0.072248,            0.028026,             0.16645,              0.1921,             0.12232,            0.055959,            0.056815,            0.060384,            0.039492,            0.039719,           0.0063315,           0.0063315
                   2,            0.059685,            0.071715,            0.025641,             0.22481,             0.25822,             0.19216,            0.091557,            0.054296,            0.059666,            0.029054,           0.0090596,           0.0090051,           0.0090051
                   3,            0.057861,            0.074174,            0.024447,             0.28496,             0.25742,             0.21982,             0.10764,            0.053435,            0.057687,            0.030526,            0.008515,            0.008515,            0.008515
                   4,            0.055788,            0.074264,            0.022764,             0.24404,              0.2566,             0.18902,            0.088777,            0.054867,            0.058274,             0.02974,            0.008515,            0.008515,            0.008515
                   5,              0.0543,            0.072712,            0.019928,             0.30871,             0.28703,             0.25518,             0.12641,            0.050651,            0.057747,            0.024835,             0.00802,             0.00802,             0.00802
                   6,            0.053673,             0.07344,             0.01977,             0.37788,             0.29455,             0.29203,             0.15471,            0.049476,            0.056678,             0.02307,            0.007525,            0.007525,            0.007525
                   7,            0.053096,            0.072173,            0.018559,             0.38867,             0.30471,              0.3018,             0.16026,             0.04924,            0.057898,            0.021026,             0.00703,             0.00703,             0.00703
                   8,            0.052412,            0.071325,            0.017679,             0.39164,             0.32685,              0.3254,              0.1749,             0.04759,            0.056538,            0.019873,            0.006535,            0.006535,            0.006535
                   9,            0.051172,             0.07005,            0.016693,             0.37736,             0.33109,             0.30716,             0.16393,            0.049515,            0.056955,            0.022236,             0.00604,             0.00604,             0.00604
                  10,            0.051452,            0.068783,             0.01633,             0.43348,             0.35874,             0.36257,             0.20533,            0.046924,            0.055399,            0.018161,            0.005545,            0.005545,            0.005545
                  11,            0.050839,            0.068897,            0.015456,             0.42053,             0.34504,             0.35845,             0.20198,            0.046542,            0.054944,            0.018098,             0.00505,             0.00505,             0.00505
                  12,            0.050072,            0.068387,            0.015011,             0.43308,             0.37694,             0.37726,             0.21309,             0.04572,            0.054937,            0.017389,            0.004555,            0.004555,            0.004555
                  13,            0.049759,             0.06814,            0.013959,             0.44238,             0.39297,             0.38108,             0.21198,            0.045592,            0.054673,            0.015522,             0.00406,             0.00406,             0.00406
                  14,            0.048259,            0.066611,            0.013809,             0.46218,             0.37685,             0.38953,              0.2239,            0.044648,            0.054031,            0.015069,            0.003565,            0.003565,            0.003565
                  15,            0.048541,            0.066884,             0.01244,              0.4757,             0.38594,             0.40504,             0.23189,            0.045064,            0.053912,            0.014426,             0.00307,             0.00307,             0.00307
                  16,            0.047798,            0.066225,            0.012496,             0.50335,             0.38672,             0.41175,             0.23188,            0.044454,            0.053848,            0.014566,            0.002575,            0.002575,            0.002575
                  17,            0.047727,            0.066195,             0.01141,             0.49439,             0.38776,             0.41201,             0.23971,            0.044431,            0.053859,            0.015444,             0.00208,             0.00208,             0.00208
                  18,            0.047613,            0.066922,            0.011385,             0.47886,             0.39282,             0.40722,             0.23524,            0.044304,            0.053802,            0.014138,            0.001585,            0.001585,            0.001585
                  19,            0.047039,             0.06592,            0.010566,             0.48701,             0.39997,             0.42115,             0.24148,            0.043829,            0.053289,            0.013465,             0.00109,             0.00109,             0.00109
