               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082517,            0.071857,            0.038391,             0.16617,              0.2652,             0.15581,             0.07156,            0.057195,            0.056151,            0.037638,            0.070049,           0.0033279,           0.0033279
                   1,            0.061142,            0.072135,            0.027865,             0.17756,             0.26582,             0.14648,            0.068262,            0.054857,            0.056704,            0.032801,             0.03939,           0.0060018,           0.0060018
                   2,            0.059299,            0.071502,            0.025306,             0.23641,             0.28192,             0.19494,            0.094328,            0.052863,            0.056181,            0.028444,           0.0080702,           0.0080156,           0.0080156
                   3,            0.057333,            0.073759,            0.024125,             0.28348,             0.26009,              0.2354,             0.11633,            0.052153,            0.056365,            0.030212,             0.00703,             0.00703,             0.00703
                   4,            0.055227,            0.073248,            0.022425,             0.32037,             0.29027,             0.25168,             0.12383,            0.051336,            0.055866,            0.024589,             0.00703,             0.00703,             0.00703
                   5,            0.053526,            0.072169,            0.019514,             0.38744,             0.31657,             0.30857,             0.16094,            0.048904,            0.054821,            0.020982,             0.00604,             0.00604,             0.00604
                   6,            0.052615,            0.072339,            0.019003,             0.36839,             0.30514,             0.30649,             0.16671,             0.04862,            0.054376,            0.020629,             0.00505,             0.00505,             0.00505
                   7,            0.051575,            0.070928,            0.017327,             0.35958,             0.32313,             0.30805,             0.16487,            0.048487,            0.054902,             0.02175,             0.00406,             0.00406,             0.00406
                   8,            0.050637,            0.069777,            0.016091,             0.42266,             0.33783,             0.34035,             0.18706,            0.047808,             0.05381,            0.019655,             0.00307,             0.00307,             0.00307
                   9,            0.048987,            0.068081,            0.015153,             0.44029,              0.3668,             0.38227,             0.21668,            0.046474,            0.053288,            0.017245,             0.00208,             0.00208,             0.00208
